"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N405WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N406UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N406WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N407AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N407UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N407WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N408AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N408UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N408WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N409AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N409UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N409WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N410UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N410WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N41135",1999,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N411UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N411WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N412UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N412WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N413AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N413UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N413WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N414UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N414WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N415UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N415WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N416UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N416WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N417UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N417WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N418UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N418WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N419AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N419UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N419WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N420UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N420WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N421LV",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N421UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N422UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N422WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N423AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N423UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N423WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N424UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N424WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N425LV",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N425UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N426UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N426WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N427UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N427WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N428AS",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N428UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N428WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N429UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N429WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N430UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N430WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N431AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N431SW",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N431UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N431WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N432UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N432WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N433AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N433LV",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N433UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N434AS",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N434UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N434WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N435AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N435UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N435WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N436UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N436WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N437UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N437WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N438UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N438WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N439UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N439WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N440AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N440LV",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N440UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N441UA",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N441WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N442AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N442UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N442WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N443UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N443WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N444UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N444WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N445SW",2002,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N445UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N445WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N446UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N446WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N447UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N447WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N448AS",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N448UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N448WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N449SW",2002,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N449UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N449WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N450WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N451UA",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N451WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N452UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N452WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N453AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N453UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N453WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N45440",2009,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N454UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N454WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N455UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N455WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N456UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N456WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N457AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N457UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N457WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N458UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N458WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N459AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N459SW",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N459UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N459WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N460UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N460WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N461AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N461SW",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N461UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N461WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N462AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N462UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N462WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N463UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N463WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N464AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N464UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N464WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N465SW",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N465UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N465WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N466SW",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N466UA",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N466WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N467AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N467UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N467WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N468AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N468UA",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N468WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N469AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N469UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N469WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N470UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N470WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N471AS",2014,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N471CA",2002,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N471UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N472AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N472CA",2002,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N472UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N472WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N473AA",1988,"Fixed wing multi engine","MCDONNELL DOUGLAS","DC-9-82(MD-82)",2,172,NA,"Turbo-fan"
"N473UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N473WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N47414",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N474AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N474UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N474WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N475AA",1988,"Fixed wing multi engine","MCDONNELL DOUGLAS","DC-9-82(MD-82)",2,172,NA,"Turbo-fan"
"N475UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N475WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N476UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N476WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N477AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N477CA",2002,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N477UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N477WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N478AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N478UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N478WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N479AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N479CA",2002,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N479UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N479WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N480UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N480WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N481AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N481UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N481WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N482UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N482WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N483AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N483UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N483WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N484UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N484WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N485UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N485WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N486AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N486UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N486WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N487AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N487UA",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N487WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N488UA",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N488WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N489UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N489WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N490UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N490WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N491AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N491UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N491WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N492AS",2015,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N492UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N492WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N493AS",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N493UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N493WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N494AS",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N494CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N494UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N494WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N495AS",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N495CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N495UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N495WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N496UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N496WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N497UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N497WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N498CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"N498UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"N498WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N499WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N500WR",2014,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"N501AA",1989,"Fixed wing multi engine","MCDONNELL DOUGLAS","DC-9-82(MD-82)",2,172,NA,"Turbo-fan"
"N502NK",2005,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N503JB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N503NK",NA,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N504JB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N504NK",2005,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N505JB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N505NK",2005,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N506AS",2008,"Fixed wing multi engine","BOEING","737-890",2,149,NA,"Turbo-fan"
"N506JB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N506NK",2005,"Fixed wing multi engine","AIRBUS","A319-132",2,179,NA,"Turbo-fan"
"N507AA",1997,"Fixed wing single engine","WOBIG WAYNE R","FALCON-XP",1,2,NA,"Reciprocating"
"N507AY",2008,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N507CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
